% Calibratioon data for Behringer ECM8000 measurement microphone
type = MICROPHONE			% type of hardware ('DAC', 'ADC', 'MICROPHONE', or 'SENSOR')
sensitivity = 13 mV/Pa	% sensitivity of Behringer ECM8000 (approximate values, https://fr.wikipedia.org/wiki/Behringer_ECM8000)
% Frequency response (estimated from generic data plotted in Behringer documentation)
% column-1: frequency, column-2: response / gain (dB) relative to absolute sensitivity value given above
15          0
60          0
2000        0
5000        1.5
8000        1.5
10000       1.3
18000       0
20000      -1
22000      -1
30000      -10
